Invoice #;Date;Operation Type (purchase / relocation);Product;Quantity;Cost Price;Total;Supplier;Store
960036;1/1/2017; Purchase;" Memory Type 2; Dell";2;82;164; A;12
960037;1/1/2017; Purchase;" Speakers Type 3; Samsung";3;56;168; A;12
960038;1/1/2017; Purchase;" Desktop Type 10; HP";3;250;750; A;12
960039;1/1/2017; Purchase;" Speakers Type 1; Dell";3;42;126; A;12
960040;1/1/2017; Purchase;" Hard Drive Type 7; Samsung";2;86;172; A;12
960041;1/1/2017; Purchase;" Smart Watch Type 3; HP";3;132;396; A;12
960042;1/1/2017; Purchase;" Mouse Type 7; Samsung";1;10;10; A;12
960043;1/1/2017; Purchase;" Hard Drive Type 4; Dell";2;61;122; A;12
960044;1/1/2017; Purchase;" Phone Type 2; Dell";2;266;532; A;12
960045;1/1/2017; Purchase;" Desktop Type 8; Dell";2;425;850; A;12
960046;1/1/2017; Purchase;" Phone Type 2; HP";5;237;1185; A;12
960047;1/1/2017; Purchase;" Tablet Type 4; Samsung";4;307;1228; A;12
960048;1/1/2017; Purchase;" Hard Drive Type 2; HP";3;29;87; A;12
960049;1/1/2017; Purchase;" Speakers Type 6; Dell";1;12;12; A;12
960050;1/1/2017; Purchase;" Monitor Type 3; Samsung";5;106;530; A;12
960051;1/1/2017; Purchase;" Charger Type 2; HP";5;9;45; A;12
960052;1/1/2017; Purchase;" Desktop Type 4; HP";3;286;858; A;12
960053;1/1/2017; Purchase;" Tablet Type 6; Huawei";2;172;344; A;12
960054;1/1/2017; Purchase;" Tablet Type 2; Huawei";3;198;594; A;12
960055;1/1/2017; Purchase;" Phone Type 5; Dell";4;374;1496; A;12
960056;1/1/2017; Purchase;" Monitor Type 1; Samsung";2;93;186; A;12
960057;1/1/2017; Purchase;" Laptop Type 1; Huawei";5;584;2920; A;12
960058;1/1/2017; Purchase;" Speakers Type 3; Dell";3;50;150; A;12
960059;1/1/2017; Purchase;" Desktop Type 6; Dell";3;345;1035; A;12
960060;1/1/2017; Purchase;" Mouse Type 4; Huawei";2;16;32; A;12
960061;1/1/2017; Purchase;" Microphone Type 1; Samsung";2;29;58; A;12
960062;1/1/2017; Purchase;" Memory Type 3; Huawei";2;36;72; C;12
960063;1/1/2017; Purchase;" Mouse Type 4; Dell";2;16;32; C;12
960064;1/1/2017; Purchase;" Desktop Type 7; Samsung";1;304;304; C;12
960065;1/1/2017; Purchase;" Phone Type 2; Samsung";1;266;266; C;12
960066;1/1/2017; Purchase;" Mouse Type 6; Huawei";2;22;44; C;12
960067;1/1/2017; Purchase;" Keyboard Type 1; HP";2;39;78; C;12
960068;1/1/2017; Purchase;" Speakers Type 3; Huawei";5;57;285; C;12
960069;1/1/2017; Purchase;" Monitor Type 3; HP";3;138;414; C;12
960070;1/1/2017; Purchase;" Phone Type 10; Huawei";5;324;1620; C;12
960071;1/1/2017; Purchase;" Keyboard Type 2; Samsung";5;10;50; C;12
960072;1/1/2017; Purchase;" Keyboard Type 3; Huawei";2;16;32; C;12
960073;1/1/2017; Purchase;" Memory Type 4; Dell";5;63;315; C;12
960074;1/1/2017; Purchase;" Hard Drive Type 1; Samsung";5;39;195; C;12
960075;1/1/2017; Purchase;" Headphones Type 3; HP";2;41;82; C;12
960076;1/1/2017; Purchase;" Monitor Type 3; Huawei";5;133;665; C;12
960077;1/1/2017; Purchase;" Mouse Type 2; Huawei";5;8;40; B;12
960078;1/1/2017; Purchase;" Tablet Type 3; Huawei";1;203;203; B;12
960079;1/1/2017; Purchase;" Phone Type 7; Huawei";2;391;782; B;12
960080;1/1/2017; Purchase;" Desktop Type 7; HP";4;349;1396; B;12
960081;1/1/2017; Purchase;" Laptop Type 3; Huawei";1;1586;1586; B;12
960082;1/1/2017; Purchase;" Phone Type 6; Dell";4;316;1264; B;12
960083;1/1/2017; Purchase;" Microphone Type 3; Huawei";4;43;172; B;12
960084;1/1/2017; Purchase;" Mouse Type 3; Dell";5;12;60; B;12
960085;1/1/2017; Purchase;" Desktop Type 10; Huawei";4;279;1116; B;12
960086;1/1/2017; Purchase;" Speakers Type 6; Samsung";3;14;42; B;12
960087;1/1/2017; Purchase;" Laptop Type 4; Huawei";4;1172;4688; B;12
960088;1/1/2017; Purchase;" Tablet Type 5; Dell";3;120;360; B;12
960089;1/1/2017; Purchase;" Speakers Type 7; Huawei";4;29;116; B;12
960090;1/1/2017; Purchase;" Mouse Type 5; Huawei";5;12;60; B;12
960091;1/1/2017; Purchase;" Monitor Type 1; Dell";5;104;520; B;12
960092;1/1/2017; Purchase;" Smart Watch Type 3; Dell";3;181;543; B;12
960093;1/1/2017; Purchase;" Memory Type 2; Samsung";5;66;330; B;12
960094;1/1/2017; Purchase;" Phone Type 12; Samsung";4;275;1100; A;12
960095;1/1/2017; Purchase;" Memory Type 1; Samsung";3;43;129; A;12
960096;1/1/2017; Purchase;" Desktop Type 9; Dell";3;509;1527; A;12
960097;1/1/2017; Purchase;" Laptop Type 2; Samsung";4;1753;7012; A;12
960098;1/1/2017; Purchase;" Phone Type 4; Huawei";3;364;1092; A;12
960099;1/1/2017; Purchase;" Phone Type 11; HP";2;401;802; A;12
960100;1/1/2017; Purchase;" Phone Type 8; Huawei";2;325;650; A;12
960101;1/1/2017; Purchase;" Phone Type 8; HP";4;331;1324; A;12
960102;1/1/2017; Purchase;" Speakers Type 4; Huawei";5;46;230; A;12
960103;1/1/2017; Purchase;" Smart Watch Type 3; Huawei";3;153;459; A;12
960104;1/1/2017; Purchase;" Phone Type 2; Huawei";1;254;254; C;12
960105;1/1/2017; Purchase;" Hard Drive Type 8; Samsung";1;81;81; C;12
960106;1/1/2017; Purchase;" Hard Drive Type 6; Huawei";1;68;68; C;12
960107;1/1/2017; Purchase;" Speakers Type 4; Dell";3;58;174; C;12
960108;1/1/2017; Purchase;" Phone Type 4; Samsung";1;437;437; C;12
960109;1/1/2017; Purchase;" Desktop Type 1; HP";2;406;812; C;12
960110;1/1/2017; Purchase;" Hard Drive Type 7; HP";3;90;270; C;12
960111;1/1/2017; Purchase;" Mouse Type 2; HP";4;8;32; C;12
960112;1/1/2017; Purchase;" Desktop Type 3; Samsung";4;131;524; C;12
960113;1/1/2017; Purchase;" Smart Watch Type 2; Dell";4;151;604; C;12
960114;1/1/2017; Purchase;" Monitor Type 1; Huawei";1;116;116; C;12
960115;1/1/2017; Purchase;" Headphones Type 1; Dell";2;51;102; C;12
960116;1/1/2017; Purchase;" Microphone Type 2; Huawei";2;17;34; C;12
960117;1/1/2017; Purchase;" Charger Type 1; HP";4;7;28; C;12
960118;1/1/2017; Purchase;" Laptop Type 1; HP";5;749;3745; C;12
960119;1/1/2017; Purchase;" Headphones Type 5; HP";4;18;72; C;12
960120;1/1/2017; Purchase;" Hard Drive Type 1; Huawei";3;35;105; C;12
960121;1/1/2017; Purchase;" Memory Type 4; Samsung";1;50;50; C;12
960122;1/1/2017; Purchase;" Phone Type 9; HP";2;288;576; C;12
960123;1/1/2017; Purchase;" Charger Type 1; Samsung";1;7;7; C;12
960124;1/1/2017; Purchase;" Desktop Type 11; Huawei";5;322;1610; C;12
960125;1/1/2017; Purchase;" Smart Watch Type 2; HP";4;120;480; C;12
960126;1/1/2017; Purchase;" Tablet Type 7; HP";1;154;154; C;12
960127;1/1/2017; Purchase;" Desktop Type 12; Dell";5;197;985; C;12
960128;1/1/2017; Purchase;" Phone Type 6; Huawei";5;285;1425; C;12
960129;1/1/2017; Purchase;" Memory Type 3; Dell";4;38;152; C;12
960130;1/1/2017; Purchase;" Monitor Type 4; Samsung";1;127;127; C;12
960131;1/1/2017; Purchase;" Desktop Type 12; Huawei";4;243;972; C;12
960132;1/1/2017; Purchase;" Desktop Type 5; HP";1;321;321; B;12
960133;1/1/2017; Purchase;" Desktop Type 3; Huawei";3;135;405; B;12
960134;1/1/2017; Purchase;" Laptop Type 6; Dell";1;1024;1024; B;12
960135;1/1/2017; Purchase;" Tablet Type 6; Dell";2;170;340; B;12
960136;1/1/2017; Purchase;" Tablet Type 1; Huawei";4;300;1200; B;12
960137;1/1/2017; Purchase;" Memory Type 2; Huawei";3;84;252; B;12
960138;1/1/2017; Purchase;" Headphones Type 2; Dell";5;26;130; B;12
960139;1/1/2017; Purchase;" Keyboard Type 3; Dell";2;17;34; B;12
960140;1/1/2017; Purchase;" Headphones Type 4; Dell";1;20;20; B;12
960141;1/1/2017; Purchase;" Charger Type 1; Huawei";3;7;21; B;12
960142;1/1/2017; Purchase;" Headphones Type 1; HP";4;46;184; B;12
960143;1/1/2017; Purchase;" Mouse Type 6; Samsung";3;24;72; B;12
960144;1/1/2017; Purchase;" Desktop Type 8; HP";2;374;748; B;12
960145;1/1/2017; Purchase;" Headphones Type 2; Huawei";2;33;66; B;12
960146;1/1/2017; Purchase;" Mouse Type 4; HP";2;17;34; B;12
960147;1/1/2017; Purchase;" Keyboard Type 2; Huawei";3;10;30; A;12
960148;1/1/2017; Purchase;" Charger Type 2; Dell";3;12;36; A;12
960149;1/1/2017; Purchase;" Tablet Type 4; HP";4;348;1392; A;12
960150;1/1/2017; Purchase;" Tablet Type 2; Dell";3;192;576; A;12
960151;1/1/2017; Purchase;" Hard Drive Type 8; HP";2;75;150; A;12
960152;1/1/2017; Purchase;" Microphone Type 3; Dell";5;34;170; A;12
960153;1/1/2017; Purchase;" Desktop Type 7; Huawei";3;406;1218; A;12
960154;1/1/2017; Purchase;" Laptop Type 3; HP";2;1466;2932; A;12
960155;1/1/2017; Purchase;" Hard Drive Type 2; Dell";1;36;36; A;12
960156;1/1/2017; Purchase;" Desktop Type 9; HP";5;575;2875; A;12
960157;1/1/2017; Purchase;" Mouse Type 1; Dell";5;4;20; A;12
960158;1/1/2017; Purchase;" Desktop Type 11; Samsung";5;339;1695; A;12
960159;1/1/2017; Purchase;" Mouse Type 5; Samsung";5;10;50; A;12
960160;1/1/2017; Purchase;" Headphones Type 5; Dell";4;18;72; A;12
960161;1/1/2017; Purchase;" Speakers Type 1; Samsung";5;49;245; A;12
960162;1/1/2017; Purchase;" Keyboard Type 4; Dell";5;16;80; A;12
960163;1/1/2017; Purchase;" Tablet Type 3; Dell";1;187;187; A;12
960164;1/1/2017; Purchase;" Phone Type 1; Samsung";5;211;1055; A;12
960165;1/1/2017; Purchase;" Speakers Type 4; Samsung";3;59;177; A;12
960166;1/1/2017; Purchase;" Monitor Type 1; HP";1;94;94; A;12
960167;1/1/2017; Purchase;" Mouse Type 3; Samsung";1;11;11; A;12
960168;1/1/2017; Purchase;" Tablet Type 7; Huawei";10;168;168; A;12
960169;1/1/2017; Purchase;" Speakers Type 5; Dell";10;83;83; A;12
960170;1/1/2017; Purchase;" Laptop Type 6; HP";3;770;2310; A;12
960171;1/1/2017; Purchase;" Microphone Type 2; HP";2;22;44; A;12
960172;1/1/2017; Purchase;" Speakers Type 5; HP";3;61;183; A;12
960173;1/1/2017; Purchase;" Mouse Type 6; Dell";4;22;88; A;12
960174;1/1/2017; Purchase;" Hard Drive Type 7; Dell";2;115;230; A;12
960175;1/1/2017; Purchase;" Speakers Type 2; Samsung";1;32;32; C;12
960176;1/1/2017; Purchase;" Phone Type 5; HP";2;374;748; C;12
960177;1/1/2017; Purchase;" Speakers Type 7; HP";10;27;27; C;12
960178;1/1/2017; Purchase;" Phone Type 10; Samsung";2;263;526; C;12
960179;1/1/2017; Purchase;" Charger Type 2; Huawei";4;10;40; C;12
960180;1/1/2017; Purchase;" Monitor Type 2; Dell";5;85;425; C;12
960181;1/1/2017; Purchase;" Headphones Type 5; Huawei";10;18;90; C;12
960182;1/1/2017; Purchase;" Phone Type 1; HP";10;257;1028; C;12
960183;1/1/2017; Purchase;" Hard Drive Type 8; Dell";10;80;240; C;12
960184;1/1/2017; Purchase;" Tablet Type 1; HP";2;433;866; C;12
960185;1/1/2017; Purchase;" Hard Drive Type 5; Samsung";10;55;110; C;12
960186;1/1/2017; Purchase;" Speakers Type 1; Huawei";1;40;40; C;12
960187;1/1/2017; Purchase;" Speakers Type 5; Huawei";3;80;240; C;12
960188;1/1/2017; Purchase;" Speakers Type 6; Huawei";4;16;64; C;12
960189;1/1/2017; Purchase;" Mouse Type 1; Samsung";10;4;16; C;12
960190;1/1/2017; Purchase;" Laptop Type 6; Samsung";10;1099;2198; C;12
960191;1/1/2017; Purchase;" Monitor Type 2; Huawei";10;102;306; C;12
960192;1/1/2017; Purchase;" Headphones Type 3; Samsung";10;37;148; C;12
960193;1/1/2017; Purchase;" Desktop Type 3; HP";4;178;890; C;12
960194;1/1/2017; Purchase;" Monitor Type 4; HP";10;180;180; C;12
960195;1/1/2017; Purchase;" Phone Type 11; Huawei";1;362;362; C;12
960196;1/1/2017; Purchase;" Headphones Type 6; Huawei";5;47;235; C;12
960197;1/1/2017; Purchase;" Monitor Type 2; Samsung";4;90;360; B;12
960198;1/1/2017; Purchase;" Keyboard Type 4; Samsung";2;12;24; B;12
960199;1/1/2017; Purchase;" Desktop Type 2; Huawei";10;223;223; B;12
960200;1/1/2017; Purchase;" Headphones Type 2; HP";4;27;108; A;12
960201;1/1/2017; Purchase;" Phone Type 3; Huawei";4;432;1728; A;12
960202;1/1/2017; Purchase;" Smart Watch Type 1; HP";4;264;1056; A;12
960203;1/1/2017; Purchase;" Microphone Type 2; Samsung";10;20;20; A;12
960204;1/1/2017; Purchase;" Memory Type 2; Dell";2;82;164; A;12
960205;1/1/2017; Purchase;" Speakers Type 3; Samsung";2;56;168; A;12
960206;1/1/2017; Purchase;" Desktop Type 10; HP";3;250;750; A;12
960207;1/1/2017; Purchase;" Speakers Type 1; Dell";1;42;126; A;12
960208;1/1/2017; Purchase;" Hard Drive Type 7; Samsung";2;86;172; A;12
960209;1/1/2017; Purchase;" Smart Watch Type 3; HP";10;132;396; A;12
960210;1/1/2017; Purchase;" Mouse Type 7; Samsung";1;10;10; A;12
960211;1/1/2017; Purchase;" Hard Drive Type 4; Dell";1;61;122; A;12
960212;1/1/2017; Purchase;" Phone Type 2; Dell";10;266;532; A;12
960213;1/1/2017; Purchase;" Desktop Type 8; Dell";2;425;850; A;12
960214;1/1/2017; Purchase;" Phone Type 2; HP";5;237;1185; A;12
960215;1/1/2017; Purchase;" Tablet Type 4; Samsung";10;307;1228; A;12
960216;1/1/2017; Purchase;" Hard Drive Type 2; HP";3;29;87; A;12
960217;1/1/2017; Purchase;" Speakers Type 6; Dell";10;12;12; A;12
960218;1/1/2017; Purchase;" Monitor Type 3; Samsung";5;106;530; A;12
960219;1/1/2017; Purchase;" Charger Type 2; HP";5;9;45; A;12
960220;1/1/2017; Purchase;" Desktop Type 4; HP";3;286;858; A;12
960221;1/1/2017; Purchase;" Tablet Type 6; Huawei";2;172;344; A;12
960222;1/1/2017; Purchase;" Tablet Type 2; Huawei";3;198;594; A;12
960223;1/1/2017; Purchase;" Phone Type 5; Dell";10;374;1496; A;12
960224;1/1/2017; Purchase;" Monitor Type 1; Samsung";2;93;186; A;12
960225;1/1/2017; Purchase;" Laptop Type 1; Huawei";10;584;2920; A;12
960226;1/1/2017; Purchase;" Speakers Type 3; Dell";3;50;150; A;12
960227;1/1/2017; Purchase;" Desktop Type 6; Dell";10;345;1035; A;12
960228;1/1/2017; Purchase;" Mouse Type 4; Huawei";10;16;32; A;12
960229;1/1/2017; Purchase;" Microphone Type 1; Samsung";2;29;58; A;12
960230;1/1/2017; Purchase;" Memory Type 3; Huawei";1;36;72; C;12
960231;1/1/2017; Purchase;" Mouse Type 4; Dell";2;16;32; C;12
960232;1/1/2017; Purchase;" Desktop Type 7; Samsung";10;304;304; C;12
960233;1/1/2017; Purchase;" Phone Type 2; Samsung";10;266;266; C;12
960234;1/1/2017; Purchase;" Mouse Type 6; Huawei";1;22;44; C;12
960235;1/1/2017; Purchase;" Keyboard Type 1; HP";2;39;78; C;12
960236;1/1/2017; Purchase;" Speakers Type 3; Huawei";5;57;285; C;12
960237;1/1/2017; Purchase;" Monitor Type 3; HP";10;138;414; C;12
960238;1/1/2017; Purchase;" Phone Type 10; Huawei";5;324;1620; C;12
960239;1/1/2017; Purchase;" Keyboard Type 2; Samsung";5;10;50; C;12
960240;1/1/2017; Purchase;" Keyboard Type 3; Huawei";10;16;32; C;12
960241;1/1/2017; Purchase;" Memory Type 4; Dell";5;63;315; C;12
960242;1/1/2017; Purchase;" Hard Drive Type 1; Samsung";5;39;195; C;12
960243;1/1/2017; Purchase;" Headphones Type 3; HP";2;41;82; C;12
960244;1/1/2017; Purchase;" Monitor Type 3; Huawei";5;133;665; C;12
960245;1/1/2017; Purchase;" Mouse Type 2; Huawei";5;8;40; B;12
960246;1/1/2017; Purchase;" Tablet Type 3; Huawei";1;203;203; B;12
960247;1/1/2017; Purchase;" Phone Type 7; Huawei";2;391;782; B;12
960248;1/1/2017; Purchase;" Desktop Type 7; HP";4;349;1396; B;12
960249;1/1/2017; Purchase;" Laptop Type 3; Huawei";1;1586;1586; B;12
960250;1/1/2017; Purchase;" Phone Type 6; Dell";4;316;1264; B;12
960251;1/1/2017; Purchase;" Microphone Type 3; Huawei";4;43;172; B;12
960252;1/1/2017; Purchase;" Mouse Type 3; Dell";5;12;60; B;12
960253;1/1/2017; Purchase;" Desktop Type 10; Huawei";4;279;1116; B;12
960254;1/1/2017; Purchase;" Speakers Type 6; Samsung";10;14;42; B;12
960255;1/1/2017; Purchase;" Laptop Type 4; Huawei";4;1172;4688; B;12
960256;1/1/2017; Purchase;" Tablet Type 5; Dell";10;120;360; B;12
960257;1/1/2017; Purchase;" Speakers Type 7; Huawei";4;29;116; B;12
960258;1/1/2017; Purchase;" Mouse Type 5; Huawei";5;12;60; B;12
960259;1/1/2017; Purchase;" Monitor Type 1; Dell";10;104;520; B;12
960260;1/1/2017; Purchase;" Smart Watch Type 3; Dell";3;181;543; B;12
960261;1/1/2017; Purchase;" Memory Type 2; Samsung";5;66;330; B;12
960262;1/1/2017; Purchase;" Phone Type 12; Samsung";3;275;1100; A;12
960263;1/1/2017; Purchase;" Memory Type 1; Samsung";10;43;129; A;12
960264;1/1/2017; Purchase;" Desktop Type 9; Dell";3;509;1527; A;12
960265;1/1/2017; Purchase;" Laptop Type 2; Samsung";4;1753;7012; A;12
960266;1/1/2017; Purchase;" Phone Type 4; Huawei";3;364;1092; A;12
960267;1/1/2017; Purchase;" Phone Type 11; HP";2;401;802; A;12
960268;1/1/2017; Purchase;" Phone Type 8; Huawei";2;325;650; A;12
960269;1/1/2017; Purchase;" Phone Type 8; HP";4;331;1324; A;12
960270;1/1/2017; Purchase;" Speakers Type 4; Huawei";5;46;230; A;12
960271;1/1/2017; Purchase;" Smart Watch Type 3; Huawei";3;153;459; A;12
960272;1/1/2017; Purchase;" Phone Type 2; Huawei";10;254;254; C;12
960273;1/1/2017; Purchase;" Hard Drive Type 8; Samsung";10;81;81; C;12
960274;1/1/2017; Purchase;" Hard Drive Type 6; Huawei";1;68;68; C;12
960275;1/1/2017; Purchase;" Speakers Type 4; Dell";3;58;174; C;12
960276;1/1/2017; Purchase;" Phone Type 4; Samsung";1;437;437; C;12
960277;1/1/2017; Purchase;" Desktop Type 1; HP";1;406;812; C;12
960278;1/1/2017; Purchase;" Hard Drive Type 7; HP";10;90;270; C;12
960279;1/1/2017; Purchase;" Mouse Type 2; HP";4;8;32; C;12
960280;1/1/2017; Purchase;" Desktop Type 3; Samsung";3;131;524; C;12
960281;1/1/2017; Purchase;" Smart Watch Type 2; Dell";2;151;604; C;12
960282;1/1/2017; Purchase;" Monitor Type 1; Huawei";1;116;116; C;12
960283;1/1/2017; Purchase;" Headphones Type 1; Dell";2;51;102; C;12
960284;1/1/2017; Purchase;" Microphone Type 2; Huawei";2;17;34; C;12
960285;1/1/2017; Purchase;" Charger Type 1; HP";4;7;28; C;12
960286;1/1/2017; Purchase;" Laptop Type 1; HP";5;749;3745; C;12
960287;1/1/2017; Purchase;" Headphones Type 5; HP";10;18;72; C;12
960288;1/1/2017; Purchase;" Hard Drive Type 1; Huawei";3;35;105; C;12
960289;1/1/2017; Purchase;" Memory Type 4; Samsung";1;50;50; C;12
960290;1/1/2017; Purchase;" Phone Type 9; HP";10;288;576; C;12
960291;1/1/2017; Purchase;" Charger Type 1; Samsung";10;7;7; C;12
960292;1/1/2017; Purchase;" Desktop Type 11; Huawei";3;322;1610; C;12
960293;1/1/2017; Purchase;" Smart Watch Type 2; HP";2;120;480; C;12
960294;1/1/2017; Purchase;" Tablet Type 7; HP";10;154;154; C;12
960295;1/1/2017; Purchase;" Desktop Type 12; Dell";3;197;985; C;12
960296;1/1/2017; Purchase;" Phone Type 6; Huawei";5;285;1425; C;12
960297;1/1/2017; Purchase;" Memory Type 3; Dell";4;38;152; C;12
960298;1/1/2017; Purchase;" Monitor Type 4; Samsung";1;127;127; C;12
960299;1/1/2017; Purchase;" Desktop Type 12; Huawei";4;243;972; C;12
960300;1/1/2017; Purchase;" Desktop Type 5; HP";10;321;321; B;12
960301;1/1/2017; Purchase;" Desktop Type 3; Huawei";3;135;405; B;12
960302;1/1/2017; Purchase;" Laptop Type 6; Dell";10;1024;1024; B;12
960303;1/1/2017; Purchase;" Tablet Type 6; Dell";2;170;340; B;12
960304;1/1/2017; Purchase;" Tablet Type 1; Huawei";4;300;1200; B;12
960305;1/1/2017; Purchase;" Memory Type 2; Huawei";1;84;252; B;12
960306;1/1/2017; Purchase;" Headphones Type 2; Dell";5;26;130; B;12
960307;1/1/2017; Purchase;" Keyboard Type 3; Dell";10;17;34; B;12
960308;1/1/2017; Purchase;" Headphones Type 4; Dell";10;20;20; B;12
960309;1/1/2017; Purchase;" Charger Type 1; Huawei";3;7;21; B;12
960310;1/1/2017; Purchase;" Headphones Type 1; HP";10;46;184; B;12
960311;1/1/2017; Purchase;" Mouse Type 6; Samsung";10;24;72; B;12
960312;1/1/2017; Purchase;" Desktop Type 8; HP";2;374;748; B;12
960313;1/1/2017; Purchase;" Headphones Type 2; Huawei";10;33;66; B;12
960314;1/1/2017; Purchase;" Mouse Type 4; HP";2;17;34; B;12
960315;1/1/2017; Purchase;" Keyboard Type 2; Huawei";10;10;30; A;12
960316;1/1/2017; Purchase;" Charger Type 2; Dell";3;12;36; A;12
960317;1/1/2017; Purchase;" Tablet Type 4; HP";4;348;1392; A;12
960318;1/1/2017; Purchase;" Tablet Type 2; Dell";3;192;576; A;12
960319;1/1/2017; Purchase;" Hard Drive Type 8; HP";2;75;150; A;12
960320;1/1/2017; Purchase;" Microphone Type 3; Dell";5;34;170; A;12
960321;1/1/2017; Purchase;" Desktop Type 7; Huawei";3;406;1218; A;12
960322;1/1/2017; Purchase;" Laptop Type 3; HP";1;1466;2932; A;12
960323;1/1/2017; Purchase;" Hard Drive Type 2; Dell";1;36;36; A;12
960324;1/1/2017; Purchase;" Desktop Type 9; HP";10;575;2875; A;12
960325;1/1/2017; Purchase;" Mouse Type 1; Dell";10;4;20; A;12
960326;1/1/2017; Purchase;" Desktop Type 11; Samsung";5;339;1695; A;12
960327;1/1/2017; Purchase;" Mouse Type 5; Samsung";2;10;50; A;12
960328;1/1/2017; Purchase;" Headphones Type 5; Dell";10;18;72; A;12
960329;1/1/2017; Purchase;" Speakers Type 1; Samsung";1;49;245; A;12
960330;1/1/2017; Purchase;" Keyboard Type 4; Dell";5;16;80; A;12
960331;1/1/2017; Purchase;" Tablet Type 3; Dell";10;187;187; A;12
960332;1/1/2017; Purchase;" Phone Type 1; Samsung";10;211;1055; A;12
960333;1/1/2017; Purchase;" Speakers Type 4; Samsung";3;59;177; A;12
960334;1/1/2017; Purchase;" Monitor Type 1; HP";10;94;94; A;12
960335;1/1/2017; Purchase;" Mouse Type 3; Samsung";1;11;11; A;12
960336;2/1/2017; Purchase;" Microphone Type 1; Dell";2;135;270;A;12
960337;2/1/2017; Purchase;" Mouse Type 1; Huawei";19;1024;19456;C;12
960338;2/1/2017; Purchase;" Laptop Type 6; HP";13;170;2210;C;12
960339;2/1/2017; Purchase;" Desktop Type 6; Samsung";5;300;1500;C;12
960340;2/1/2017; Purchase;" Monitor Type 1; Dell";1;84;84;B;12
960341;2/1/2017; Purchase;" Phone Type 4; Samsung";11;26;286;C;12
960342;2/1/2017; Purchase;" Hard Drive Type 3; Huawei";16;17;272;C;12
960343;2/1/2017; Purchase;" Mouse Type 2; Dell";19;20;380;B;12
960344;2/1/2017; Purchase;" Laptop Type 6; Samsung";8;7;56;C;12
960345;2/1/2017; Purchase;" Laptop Type 3; Dell";19;46;874;B;12
960346;2/1/2017; Purchase;" Tablet Type 5; Huawei";24;24;576;C;12
960347;2/1/2017; Purchase;" Hard Drive Type 1; HP";18;374;6732;C;12
960348;2/1/2017; Purchase;" Headphones Type 6; Samsung";12;33;396;C;12
960349;2/1/2017; Purchase;" Hard Drive Type 2; HP";10;17;170;C;12
960350;2/1/2017; Purchase;" Speakers Type 7; HP";6;10;60;A;12
