Invoice #;Date;Operation Type (purchase / relocation);Product;Quantity;Cost Price;Total;Supplier;Store
900078;01.01.2017; Purchase;" Phone Type 1; HP";2;195;390; B;10
900079;01.01.2017; Purchase;" Phone Type 4; Samsung";4;461;1844; B;10
900080;01.01.2017; Purchase;" Phone Type 10; Dell";1;237;237; B;10
900081;01.01.2017; Purchase;" Desktop Type 11; Huawei";5;372;1860; B;10
900082;01.01.2017; Purchase;" Phone Type 5; Dell";5;370;1850; B;10
900083;01.01.2017; Purchase;" Phone Type 8; Huawei";5;241;1205; B;10
900084;01.01.2017; Purchase;" Microphone Type 2; Samsung";3;24;72; B;10
900085;01.01.2017; Purchase;" Microphone Type 3; Huawei";5;43;215; B;10
900086;01.01.2017; Purchase;" Phone Type 1; Dell";3;213;639; B;10
900087;01.01.2017; Purchase;" Phone Type 11; Samsung";2;355;710; B;10
900088;01.01.2017; Purchase;" Monitor Type 4; Huawei";4;151;604; B;10
900089;01.01.2017; Purchase;" Hard Drive Type 8; Samsung";2;92;184; B;10
900090;01.01.2017; Purchase;" Hard Drive Type 3; Huawei";5;48;240; B;10
900091;01.01.2017; Purchase;" Microphone Type 2; Dell";5;20;100; C;10
900092;01.01.2017; Purchase;" Phone Type 1; Huawei";3;253;759; C;10
900093;01.01.2017; Purchase;" Headphones Type 4; Dell";5;20;100; C;10
900094;01.01.2017; Purchase;" Monitor Type 2; HP";2;105;210; C;10
900095;01.01.2017; Purchase;" Phone Type 4; Dell";2;340;680; C;10
900096;01.01.2017; Purchase;" Desktop Type 11; Dell";3;281;843; C;10
900097;01.01.2017; Purchase;" Desktop Type 12; HP";4;235;940; C;10
900098;01.01.2017; Purchase;" Desktop Type 12; Samsung";4;247;988; C;10
900099;01.01.2017; Purchase;" Headphones Type 1; Dell";5;51;255; C;10
900100;01.01.2017; Purchase;" Smart Watch Type 2; HP";5;120;600; C;10
900101;01.01.2017; Purchase;" Hard Drive Type 3; Dell";3;54;162; C;10
900102;01.01.2017; Purchase;" Charger Type 2; Huawei";1;10;10; C;10
900103;01.01.2017; Purchase;" Desktop Type 10; HP";1;335;335; C;10
900104;01.01.2017; Purchase;" Mouse Type 7; Huawei";1;8;8; C;10
900105;01.01.2017; Purchase;" Charger Type 1; HP";2;7;14; C;10
900106;01.01.2017; Purchase;" Keyboard Type 1; Dell";2;44;88; C;10
900107;01.01.2017; Purchase;" Monitor Type 1; HP";4;94;376; A;10
900108;01.01.2017; Purchase;" Tablet Type 5; Dell";5;132;660; A;10
900109;01.01.2017; Purchase;" Headphones Type 6; Dell";5;40;200; A;10
900110;01.01.2017; Purchase;" Desktop Type 4; Samsung";3;338;1014; A;10
900111;01.01.2017; Purchase;" Memory Type 4; Samsung";4;53;212; A;10
900112;01.01.2017; Purchase;" Phone Type 2; Dell";5;266;1330; A;10
900113;01.01.2017; Purchase;" Tablet Type 1; Dell";1;330;330; A;10
900114;01.01.2017; Purchase;" Mouse Type 3; Samsung";4;11;44; A;10
900115;01.01.2017; Purchase;" Desktop Type 8; Samsung";3;421;1263; A;10
900116;01.01.2017; Purchase;" Phone Type 8; Samsung";1;253;253; B;10
900117;01.01.2017; Purchase;" Desktop Type 6; HP";4;348;1392; B;10
900118;01.01.2017; Purchase;" Headphones Type 3; Samsung";1;35;35; B;10
900119;01.01.2017; Purchase;" Mouse Type 6; Huawei";3;16;48; B;10
900120;01.01.2017; Purchase;" Tablet Type 6; Huawei";1;168;168; B;10
900121;01.01.2017; Purchase;" Laptop Type 6; Dell";3;1024;3072; B;10
900122;01.01.2017; Purchase;" Phone Type 8; Dell";5;316;1580; B;10
900123;01.01.2017; Purchase;" Speakers Type 3; HP";4;72;288; B;10
900124;01.01.2017; Purchase;" Hard Drive Type 3; Samsung";3;48;144; B;10
900125;01.01.2017; Purchase;" Speakers Type 7; Samsung";3;29;87; B;10
900126;01.01.2017; Purchase;" Smart Watch Type 2; Huawei";5;138;690; B;10
900127;01.01.2017; Purchase;" Speakers Type 6; Huawei";5;12;60; B;10
900128;01.01.2017; Purchase;" Headphones Type 5; Huawei";3;16;48; B;10
900129;01.01.2017; Purchase;" Speakers Type 6; Dell";2;12;24; B;10
900130;01.01.2017; Purchase;" Desktop Type 3; Huawei";4;135;540; B;10
900131;01.01.2017; Purchase;" Hard Drive Type 4; Huawei";2;54;108; B;10
900132;01.01.2017; Purchase;" Speakers Type 5; Samsung";4;67;268; B;10
900133;01.01.2017; Purchase;" Laptop Type 5; Huawei";3;783;2349; B;10
900134;01.01.2017; Purchase;" Headphones Type 5; Dell";4;21;84; B;10
900135;01.01.2017; Purchase;" Tablet Type 3; Huawei";5;203;1015; B;10
900136;01.01.2017; Purchase;" Desktop Type 7; Huawei";2;315;630; B;10
900137;01.01.2017; Purchase;" Speakers Type 2; HP";5;37;185; B;10
900138;01.01.2017; Purchase;" Headphones Type 5; Samsung";5;18;90; B;10
900139;01.01.2017; Purchase;" Mouse Type 7; Samsung";2;10;20; B;10
900140;01.01.2017; Purchase;" Hard Drive Type 1; HP";1;47;47; B;10
900141;01.01.2017; Purchase;" Headphones Type 5; HP";3;22;66; B;10
900142;01.01.2017; Purchase;" Laptop Type 5; Dell";1;843;843; B;10
900143;01.01.2017; Purchase;" Tablet Type 4; Samsung";4;368;1472; C;10
900144;01.01.2017; Purchase;" Laptop Type 2; Huawei";5;1738;8690; C;10
900145;01.01.2017; Purchase;" Speakers Type 1; HP";2;53;106; C;10
900146;01.01.2017; Purchase;" Memory Type 3; Dell";5;38;190; C;10
900147;01.01.2017; Purchase;" Tablet Type 7; Samsung";1;194;194; C;10
900148;01.01.2017; Purchase;" Hard Drive Type 4; HP";5;41;205; C;10
900149;01.01.2017; Purchase;" Phone Type 6; HP";2;368;736; C;10
900150;01.01.2017; Purchase;" Mouse Type 6; HP";1;20;20; C;10
900151;01.01.2017; Purchase;" Phone Type 8; HP";2;233;466; C;10
900152;01.01.2017; Purchase;" Tablet Type 7; Dell";3;207;621; C;10
900153;01.01.2017; Purchase;" Desktop Type 6; Huawei";2;345;690; C;10
900154;01.01.2017; Purchase;" Mouse Type 1; Huawei";4;4;16; C;10
900155;01.01.2017; Purchase;" Laptop Type 4; Dell";2;1501;3002; C;10
900156;01.01.2017; Purchase;" Phone Type 3; HP";4;381;1524; C;10
900157;01.01.2017; Purchase;" Tablet Type 2; Dell";4;154;616; C;10
900158;01.01.2017; Purchase;" Mouse Type 3; Huawei";2;12;24; C;10
900159;01.01.2017; Purchase;" Phone Type 9; HP";4;288;1152; C;10
900160;01.01.2017; Purchase;" Headphones Type 6; Samsung";5;34;170; C;10
900161;01.01.2017; Purchase;" Mouse Type 5; Samsung";1;11;11; C;10
900162;01.01.2017; Purchase;" Memory Type 1; HP";4;33;132; C;10
900163;01.01.2017; Purchase;" Tablet Type 2; Samsung";5;164;820; C;10
900164;01.01.2017; Purchase;" Desktop Type 8; Dell";4;345;1380; C;10
900165;01.01.2017; Purchase;" Desktop Type 11; HP";3;366;1098; C;10
900166;01.01.2017; Purchase;" Hard Drive Type 7; Dell";1;86;86; C;10
900167;01.01.2017; Purchase;" Tablet Type 6; Samsung";2;246;492; A;10
900168;01.01.2017; Purchase;" Phone Type 5; Huawei";5;409;2045; A;10
900169;01.01.2017; Purchase;" Speakers Type 4; Huawei";1;46;46; A;10
900170;01.01.2017; Purchase;" Speakers Type 2; Huawei";5;42;210; A;10
900171;01.01.2017; Purchase;" Laptop Type 4; Huawei";2;1673;3346; A;10
900172;01.01.2017; Purchase;" Phone Type 3; Dell";2;429;858; A;10
900173;01.01.2017; Purchase;" Desktop Type 12; Dell";3;212;636; A;10
900174;01.01.2017; Purchase;" Hard Drive Type 7; Samsung";1;86;86; A;10
900175;01.01.2017; Purchase;" Speakers Type 1; Dell";5;42;210; A;10
900176;01.01.2017; Purchase;" Microphone Type 2; HP";2;22;44; A;10
900177;01.01.2017; Purchase;" Hard Drive Type 7; Huawei";4;84;336; A;10
900178;01.01.2017; Purchase;" Phone Type 3; Samsung";5;340;1700; A;10
900179;01.01.2017; Purchase;" Monitor Type 2; Huawei";4;87;348; A;10
900180;01.01.2017; Purchase;" Smart Watch Type 1; Huawei";1;209;209; A;10
900181;01.01.2017; Purchase;" Desktop Type 9; Samsung";4;595;2380; A;10
900182;01.01.2017; Purchase;" Phone Type 7; Samsung";5;336;1680; A;10
900183;01.01.2017; Purchase;" Headphones Type 4; HP";5;25;125; A;10
900184;01.01.2017; Purchase;" Memory Type 3; HP";1;39;39; A;10
900185;01.01.2017; Purchase;" Desktop Type 7; Dell";1;447;447; A;10
900186;01.01.2017; Purchase;" Tablet Type 3; HP";3;201;603; A;10
900187;01.01.2017; Purchase;" Phone Type 6; Samsung";1;327;327; A;10
900188;01.01.2017; Purchase;" Headphones Type 2; Samsung";5;37;185; A;10
900189;01.01.2017; Purchase;" Laptop Type 1; Dell";1;609;609; A;10
900190;01.01.2017; Purchase;" Tablet Type 2; Huawei";4;198;792; A;10
900191;01.01.2017; Purchase;" Mouse Type 7; Dell";2;10;20; A;10
900192;01.01.2017; Purchase;" Microphone Type 3; Samsung";1;36;36; A;10
900193;01.01.2017; Purchase;" Mouse Type 2; Samsung";5;7;35; A;10
900194;01.01.2017; Purchase;" Hard Drive Type 6; Dell";3;61;183; A;10
900195;01.01.2017; Purchase;" Hard Drive Type 8; HP";3;75;225; A;10
900196;01.01.2017; Purchase;" Speakers Type 2; Dell";2;32;64; A;10
900197;01.01.2017; Purchase;" Hard Drive Type 5; HP";3;78;234; B;10
900198;01.01.2017; Purchase;" Desktop Type 1; Dell";2;369;738; B;10
900199;01.01.2017; Purchase;" Phone Type 11; Dell";1;404;404; B;10
900200;01.01.2017; Purchase;" Tablet Type 3; Dell";5;264;1320; B;10
900201;01.01.2017; Purchase;" Charger Type 1; Dell";3;7;21; B;10
900202;01.01.2017; Purchase;" Keyboard Type 2; Huawei";5;12;60; B;10
900203;01.01.2017; Purchase;" Memory Type 3; Huawei";3;34;102; B;10
900204;01.01.2017; Purchase;" Phone Type 2; Huawei";3;254;762; C;10
900205;01.01.2017; Purchase;" Tablet Type 4; HP";5;268;1340; C;10
900206;01.01.2017; Purchase;" Monitor Type 3; Huawei";1;133;133; C;10
900207;01.01.2017; Purchase;" Tablet Type 6; Dell";3;217;651; C;10
900208;01.01.2017; Purchase;" Monitor Type 2; Dell";2;85;170; C;10
900209;01.01.2017; Purchase;" Phone Type 9; Huawei";5;355;1775; C;10
900210;01.01.2017; Purchase;" Phone Type 5; Samsung";3;474;1422; C;10
900211;01.01.2017; Purchase;" Laptop Type 1; Huawei";2;533;1066; C;10
900212;01.01.2017; Purchase;" Tablet Type 6; HP";2;194;388; C;10
900213;01.01.2017; Purchase;" Laptop Type 3; HP";1;1559;1559; C;10
900214;01.01.2017; Purchase;" Keyboard Type 1; Samsung";1;37;37; C;10
900215;01.01.2017; Purchase;" Desktop Type 7; HP";3;451;1353; C;10
900216;01.01.2017; Purchase;" Speakers Type 3; Samsung";1;54;54; C;10
900217;01.01.2017; Purchase;" Mouse Type 4; HP";5;21;105; C;10
900218;01.01.2017; Purchase;" Desktop Type 10; Dell";4;298;1192; C;10
900219;01.01.2017; Purchase;" Phone Type 5; HP";2;374;748; C;10
900220;01.01.2017; Purchase;" Headphones Type 1; Huawei";2;43;86; C;10
900221;01.01.2017; Purchase;" Microphone Type 2; Huawei";1;17;17; C;10
900222;01.01.2017; Purchase;" Memory Type 2; Dell";5;83;415; C;10
900223;01.01.2017; Purchase;" Desktop Type 9; Dell";5;453;2265; C;10
900224;01.01.2017; Purchase;" Desktop Type 5; HP";2;297;594; C;10
900225;01.01.2017; Purchase;" Monitor Type 4; Samsung";5;127;635; C;10
900226;01.01.2017; Purchase;" Hard Drive Type 5; Huawei";2;62;124; C;10
900227;01.01.2017; Purchase;" Desktop Type 2; Dell";5;272;1360; C;10
900228;01.01.2017; Purchase;" Tablet Type 3; Samsung";3;232;696; A;10
900229;01.01.2017; Purchase;" Charger Type 1; Huawei";5;7;35; A;10
900230;01.01.2017; Purchase;" Smart Watch Type 3; Samsung";5;188;940; B;10
900231;01.01.2017; Purchase;" Speakers Type 7; Huawei";4;29;116; B;10
900232;01.01.2017; Purchase;" Desktop Type 5; Dell";2;288;576; B;10
900233;01.01.2017; Purchase;" Hard Drive Type 2; HP";5;34;170; B;10
900234;01.01.2017; Purchase;" Phone Type 4; Huawei";1;405;405; B;10
900235;01.01.2017; Purchase;" Headphones Type 3; Huawei";1;38;38; B;10
900236;01.01.2017; Purchase;" Tablet Type 5; Samsung";4;135;540; B;10
900237;01.01.2017; Purchase;" Memory Type 4; HP";3;54;162; B;10
900238;01.01.2017; Purchase;" Tablet Type 7; Huawei";2;160;320; B;10
900239;01.01.2017; Purchase;" Phone Type 6; Huawei";5;323;1615; B;10
900240;01.01.2017; Purchase;" Monitor Type 3; Samsung";4;129;516; B;10
900241;01.01.2017; Purchase;" Hard Drive Type 1; Dell";2;32;64; B;10
900242;01.01.2017; Purchase;" Speakers Type 2; Samsung";2;28;56; B;10
900243;01.01.2017; Purchase;" Smart Watch Type 2; Dell";1;159;159; B;10
900244;01.01.2017; Purchase;" Desktop Type 3; Dell";5;144;720; B;10
900245;01.01.2017; Purchase;" Memory Type 1; Huawei";5;41;205; B;10
900246;01.01.2017; Purchase;" Speakers Type 1; Huawei";4;49;196; B;10
900247;01.01.2017; Purchase;" Smart Watch Type 2; Samsung";4;161;644; B;10
900248;01.01.2017; Purchase;" Desktop Type 5; Samsung";3;319;957; B;10
900249;01.01.2017; Purchase;" Mouse Type 3; Dell";2;12;24; B;10
900250;01.01.2017; Purchase;" Phone Type 10; HP";4;292;1168; B;10
900251;01.01.2017; Purchase;" Headphones Type 6; HP";4;41;164; B;10
900252;01.01.2017; Purchase;" Keyboard Type 1; Huawei";5;41;205; B;10
900253;01.01.2017; Purchase;" Headphones Type 2; HP";1;33;33; B;10
900254;01.01.2017; Purchase;" Hard Drive Type 8; Dell";5;86;430; B;10
900255;01.01.2017; Purchase;" Keyboard Type 2; Dell";2;12;24; B;10
900256;01.01.2017; Purchase;" Charger Type 2; Samsung";3;9;27; B;10
900257;01.01.2017; Purchase;" Phone Type 7; Dell";2;461;922; B;10
900258;01.01.2017; Purchase;" Hard Drive Type 8; Huawei";3;80;240; C;10
900259;01.01.2017; Purchase;" Desktop Type 2; Huawei";5;201;1005; C;10
900260;01.01.2017; Purchase;" Laptop Type 2; Dell";5;1532;7660; C;10
900261;01.01.2017; Purchase;" Speakers Type 5; Dell";2;63;126; C;10
900262;01.01.2017; Purchase;" Laptop Type 2; Samsung";3;1501;4503; C;10
900263;01.01.2017; Purchase;" Laptop Type 3; Samsung";1;1572;1572; C;10
900264;01.01.2017; Purchase;" Speakers Type 3; Huawei";3;57;171; C;10
900265;01.01.2017; Purchase;" Tablet Type 1; Huawei";5;433;2165; C;10
900266;01.01.2017; Purchase;" Headphones Type 2; Dell";4;38;152; C;10
900267;01.01.2017; Purchase;" Headphones Type 2; Huawei";3;37;111; C;10
900268;01.01.2017; Purchase;" Desktop Type 7; Samsung";4;304;1216; C;10
900269;01.01.2017; Purchase;" Phone Type 12; HP";5;316;1580; C;10
900270;01.01.2017; Purchase;" Desktop Type 12; Huawei";1;243;243; C;10
900271;01.01.2017; Purchase;" Keyboard Type 4; Samsung";1;13;13; C;10
900272;01.01.2017; Purchase;" Phone Type 10; Samsung";4;263;1052; C;10
900273;01.01.2017; Purchase;" Monitor Type 3; HP";4;138;552; C;10
900274;01.01.2017; Purchase;" Phone Type 9; Dell";5;325;1625; C;10
900275;01.01.2017; Purchase;" Laptop Type 4; HP";2;1158;2316; C;10
900276;01.01.2017; Purchase;" Mouse Type 2; Huawei";1;8;8; C;10
900277;01.01.2017; Purchase;" Smart Watch Type 3; Dell";4;143;572; C;10
900278;01.01.2017; Purchase;" Phone Type 11; HP";2;351;702; C;10
900279;01.01.2017; Purchase;" Laptop Type 3; Huawei";4;1106;4424; C;10
900280;01.01.2017; Purchase;" Mouse Type 5; Huawei";4;13;52; C;10
900281;01.01.2017; Purchase;" Hard Drive Type 7; HP";3;90;270; C;10
900282;01.01.2017; Purchase;" Speakers Type 4; HP";2;62;124; C;10
900283;01.01.2017; Purchase;" Desktop Type 10; Samsung";5;287;1435; C;10
900284;01.01.2017; Purchase;" Monitor Type 1; Dell";2;108;216; C;10
900285;01.01.2017; Purchase;" Microphone Type 1; Huawei";2;33;66; C;10
900286;01.01.2017; Purchase;" Mouse Type 4; Dell";3;19;57; A;10
900287;01.01.2017; Purchase;" Desktop Type 10; Huawei";2;248;496; A;10
900288;01.01.2017; Purchase;" Tablet Type 4; Huawei";3;265;795; A;10
900289;01.01.2017; Purchase;" Tablet Type 2; HP";2;211;422; A;10
900290;01.01.2017; Purchase;" Smart Watch Type 1; HP";5;264;1320; A;10
900291;01.01.2017; Purchase;" Memory Type 2; HP";2;80;160; A;10
900292;01.01.2017; Purchase;" Desktop Type 8; Huawei";5;353;1765; A;10
900293;01.01.2017; Purchase;" Keyboard Type 3; Dell";3;17;51; A;10
900294;01.01.2017; Purchase;" Laptop Type 1; Samsung";4;615;2460; A;10
900295;01.01.2017; Purchase;" Desktop Type 11; Samsung";5;339;1695; A;10
900296;01.01.2017; Purchase;" Laptop Type 2; HP";1;1437;1437; A;10
900297;01.01.2017; Purchase;" Phone Type 12; Samsung";4;275;1100; A;10
900298;01.01.2017; Purchase;" Smart Watch Type 3; Huawei";4;153;612; A;10
900299;01.01.2017; Purchase;" Headphones Type 1; HP";4;53;212; A;10
900300;01.01.2017; Purchase;" Keyboard Type 3; Huawei";5;14;70; A;10
900301;01.01.2017; Purchase;" Speakers Type 5; HP";5;61;305; A;10
900302;01.01.2017; Purchase;" Microphone Type 3; Dell";1;34;34; A;10
900303;01.01.2017; Purchase;" Desktop Type 2; HP";3;225;675; A;10
900304;01.01.2017; Purchase;" Phone Type 4; HP";1;332;996; B;10
900305;01.01.2017; Purchase;" Desktop Type 4; HP";2;373;746; B;10
900306;01.01.2017; Purchase;" Desktop Type 3; Samsung";5;159;795; B;10
900307;01.01.2017; Purchase;" Desktop Type 1; HP";2;415;830; B;10
900308;01.01.2017; Purchase;" Smart Watch Type 1; Dell";4;189;756; B;10
900309;01.01.2017; Purchase;" Tablet Type 4; Dell";10;300;900; B;10
900310;01.01.2017; Purchase;" Smart Watch Type 3; HP";5;167;835; C;10
900311;01.01.2017; Purchase;" Phone Type 6; Dell";5;368;1840; C;10
900312;01.01.2017; Purchase;" Memory Type 2; Huawei";10;90;360; C;10
900313;01.01.2017; Purchase;" Desktop Type 3; HP";10;178;178; C;10
900314;01.01.2017; Purchase;" Keyboard Type 3; Samsung";5;14;70; C;10
900315;01.01.2017; Purchase;" Mouse Type 7; HP";10;11;33; C;10
900316;01.01.2017; Purchase;" Phone Type 12; Dell";5;284;1420; C;10
900317;01.01.2017; Purchase;" Monitor Type 1; Huawei";1;116;116; C;10
900318;01.01.2017; Purchase;" Mouse Type 2; HP";1;8;8; C;10
900319;01.01.2017; Purchase;" Monitor Type 3; Dell";1;133;133; C;10
900320;01.01.2017; Purchase;" Mouse Type 5; Dell";3;10;30; C;10
900321;01.01.2017; Purchase;" Hard Drive Type 5; Dell";1;77;77; C;10
900322;01.01.2017; Purchase;" Monitor Type 4; HP";10;180;540; C;10
900323;01.01.2017; Purchase;" Tablet Type 1; HP";5;433;2165; C;10
900324;01.01.2017; Purchase;" Phone Type 12; Huawei";1;342;342; C;10
900325;01.01.2017; Purchase;" Microphone Type 1; Samsung";3;29;87; C;10
900326;01.01.2017; Purchase;" Speakers Type 6; Samsung";10;12;12; A;10
900327;01.01.2017; Purchase;" Headphones Type 3; HP";3;38;114; A;10
900328;01.01.2017; Purchase;" Laptop Type 3; Dell";3;1599;4797; A;10
900329;01.01.2017; Purchase;" Headphones Type 4; Samsung";4;27;108; A;10
900330;01.01.2017; Purchase;" Hard Drive Type 1; Samsung";5;48;240; B;10
900331;01.01.2017; Purchase;" Mouse Type 2; Dell";3;9;27; B;10
900332;01.01.2017; Purchase;" Charger Type 1; Samsung";3;6;18; B;10
900333;01.01.2017; Purchase;" Mouse Type 1; HP";1;5;25; B;10
900334;01.01.2017; Purchase;" Monitor Type 4; Dell";4;170;680; B;10
900335;01.01.2017; Purchase;" Phone Type 10; Huawei";10;324;324; C;10
900336;01.01.2017; Purchase;" Phone Type 11; Huawei";10;362;724; C;10
900337;01.01.2017; Purchase;" Laptop Type 6; HP";10;817;1634; C;10
900338;01.01.2017; Purchase;" Hard Drive Type 6; Huawei";10;68;136; C;10
900339;01.01.2017; Purchase;" Laptop Type 1; HP";3;749;2247; C;10
900340;01.01.2017; Purchase;" Microphone Type 1; Dell";5;32;160; A;10
900341;01.01.2017; Purchase;" Keyboard Type 1; HP";10;44;44; A;10
900342;01.01.2017; Purchase;" Speakers Type 7; HP";2;25;50; B;10
900343;01.01.2017; Purchase;" Mouse Type 1; Dell";10;5;15; B;10
900344;01.01.2017; Purchase;" Mouse Type 1; Samsung";3;5;20; B;10
900345;01.01.2017; Purchase;" Mouse Type 6; Dell";4;19;76; B;10
900346;01.01.2017; Purchase;" Phone Type 1; Samsung";2;200;400; B;10
900347;01.01.2017; Purchase;" Tablet Type 1; Samsung";1;429;858; B;10
900348;01.01.2017; Purchase;" Hard Drive Type 2; Samsung";10;38;190; B;10
900349;01.01.2017; Purchase;" Keyboard Type 3; HP";3;16;48; B;10
900350;01.01.2017; Purchase;" Tablet Type 5; Huawei";5;148;740; B;10
900351;01.01.2017; Purchase;" Desktop Type 4; Huawei";10;360;1080; B;10
